customer_name,account_type,initial_balance,current_balance
AHMAD RIYANSAH,checking,25000000.00,24500000.00
ANI NURAINI,checking,25000000.00,24900000.00
ANI NURAINI,saving,10000000.00,10700000.00
BOBI RINALDO,saving,500000.00,1500000.00
BUNGA MALIKA,checking,25000000.00,24700000.00
DIMAS PRASETYO,checking,1500000.00,1350000.00
KHANSA AUDYA,checking,25000000.00,24500000.00
LISA WULANDARI,checking,25000000.00,24000000.00
LUTFI AULIA,saving,55000000.00,57500000.00
MALIKA CANTIKA,checking,25000000.00,24850000.00
MARIO ROBERT,saving,55000000.00,56500000.00
RATNA SARIASIH,checking,6000000.00,5200000.00
RIA ADDINI,saving,80000000.00,82000000.00
RIAN WIBOWO,checking,25000000.00,24970000.00
RIO WIJAYA,saving,75000000.00,75500000.00
SHELLY JUWITA,checking,25000000.00,14000000.00
SHELLY JUWITA,saving,1500000.00,1600000.00
SUSI RAHMAWATI,saving,75000000.00,75200000.00
